"イベント名","開始日時","終了日時","開催会場","開催場所","緯度","経度","サイトURL"
"会津ハッカソン予選 #MA_2017 求むトガった作品！！ with UDC2017","2017/10/28 10:00","2017/10/29 19:30","会津大学 講義等 M9教室","会津若松市一箕町鶴賀上居合90","37.5238","139.9387","https://mashupawards.connpass.com/event/67204/"
"Hamamatsu-kintone もくもく会","2017/11/15 19:00","2017/11/15 21:00","蒲協働センター","静岡県浜松市東区子安町309番地の1 ","34.7132","137.7617","https://connpass.com/event/70872/"
"WordPress & kintone - devCamp Vol.11 @Tokyo","2017/03/01 14:00","2017/03/01 18:00","東京都中央区日本橋2-7-1 東京日本橋タワー 27階  ","東京都中央区日本橋2-7-1 東京日本橋タワー 27階  ","35.6819","139.7742","https://kintonedevcamp.connpass.com/event/49067/"
"Twilio Studio × kintone - devCamp Vol.12 @札幌","2017/11/29 13:00","2017/11/29 18:00","ミライストカフェ","〒060-0063 北海道札幌市中央区南3条西5丁目1-1 ノルベサ1F","43.0561","141.351","https://kintonedevcamp.connpass.com/event/71283/"
"ゆるふわIT浜松 CodingDojoカフェ 6杯目","2017/11/18 10:00","2017/11/18 12:30","南部協働センター","浜松市中区海老塚二丁目25-17","34.697","137.7332","https://progdojo-hmmt.connpass.com/event/71206/"
"kintone Caf? 八戸 Vol.1","2017/05/27 15:30","2017/05/27 17:30","デーリー東北メディアホール（社屋６階）","青森県八戸市城下一丁目3番12号","40.5183","141.4887","https://connpass.com/event/55354/"
"CRMの重要性と、オープンソースCRM（F-RevoCRM）のメリット/デメリット","2017/11/30 15:00","2017/11/30 17:00","マジセミ竹芝オフィス","東京都港区海岸１丁目１４?１７ベイサイド竹芝１３０７","35.6534","139.761","https://majisemi.connpass.com/event/72276/"
"DEV's Caf?#1 業務アプリとチャットボットの融合にチャレンジ","2017/11/30 17:30","2017/11/30 21:00","サイボウズ株式会社","東京都中央区日本橋2-7-1","35.682","139.7743","https://devs-x.connpass.com/event/70444/"
"【東京会場】Cybozu Tech Conference 2017","2017/12/02 13:00","2017/12/02 20:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/70374/"
"kintone Caf? 広島 Vol.6＠福山","2017/12/01 18:00","2017/12/01 21:00","猪原歯科・リハビリテーション科 ","広島県福山市多治米町５丁目２８?１５","34.4642","133.3762","https://kintone-cafe-hiroshima.connpass.com/event/69836/"
"UX Cafe: 学生向け ポートフォリオ勉強会","2017/12/13 18:30","2017/12/13 22:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1  東京日本橋タワー27階","35.6819","139.7742","https://cybozu.connpass.com/event/69926/"
"ゆるふわIT浜松 CodingDojoカフェ 7杯目","2017/12/09 16:00","2017/12/09 18:00","南部協働センター","浜松市中区海老塚二丁目25-17","34.697","137.7332","https://progdojo-hmmt.connpass.com/event/72719/"
"kintone モクモク会 @大阪　第10回","2017/12/20 19:00","2017/12/20 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/73305/"
"kintone Caf? 浜松 Vol.3","2017/12/20 18:45","2017/12/20 20:30","遠鉄システムサービス株式会社","静岡県浜松市中区千歳町91番地の1 （遠鉄モール街ビル2階）","34.7036","137.731","https://kintonecafe-hamamatsu.connpass.com/event/73235/"
"価値を描き、活動に落とし込む手法を学ぼう！","2017/12/15 19:30","2017/12/15 21:30","大阪市立青少年センター（KOKO PLAZA） 多目的室","大阪市東淀川区東中島1-13-13","34.7321","135.5037","https://naniwa-takumi.connpass.com/event/73149/"
"匠の冬まつり2018 in 関西","2018/02/02 17:00","2018/02/02 21:00","アットビジネスセンター大阪梅田（西梅田MIDビル）","大阪府大阪市北区曽根崎新地2-2-16　西梅田MIDビル9階","34.6981","135.4951","https://it-takumi.connpass.com/event/68740/"
"kintone Caf? 名古屋女子会","2017/12/21 14:00","2017/12/21 16:30",".dot","名古屋市中区栄2丁目12番12号 アーク栄白川パークビル 1階","35.1662","136.9009","https://connpass.com/event/73428/"
"業務ハック勉強会@東京 ? 働き方改革にも効く！事例で学ぶ業務改善のノウハウ","2017/12/15 19:00","2017/12/15 21:00","サイボウズ 東京オフィス","東京都中央区日本橋2-7-1 (東京日本橋タワー  受付：27階)","35.682","139.7743","https://gyomuhackers.connpass.com/event/71726/"
